Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17342.4719395745,16441.7906361916,16585.1955307263,17926.5728361165,19081.351656125,19356.2033894901,20620.7006259175,20670.6556635493,20434.2994364477,20834.5101990131,22567.8249248908,23302.8319880055,24014.9442670501,25921.026051998,27546.8993898034,24631.4348604167,24271.9404205267,25324.7203624669,,,,,,
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,59.7773265084,59.8781528089,58.4928738323,78.7827580363,82.2084438594,101.2904712742,137.899361897,161.3220000885,129.5066538443,129.7985414084,157.1874223892,160.3728355542,136.1170143812,144.1103189293,174.9420383195,187.9756040137,199.0261727291,226.0053437593,249.2873862618,277.9007416651,274.8808587015,266.4930418087,,,,,,,,,,,,,,,,,,,,117.409690795,187.8450949554,198.7285435523,219.1413527855,250.2941299095,272.5630770181,369.8357959698,373.3611163,445.8932979237,553.3002893831,603.5370230624,669.009050888,638.6125432024,629.3452503691,569.5779229167,561.7787462709,585.8500637824
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,664.1175602003,600.4087655413,579.2520008971,582.4201264981,596.602467242,711.9927001047,647.5633536859,720.5989384879,761.6184576626,862.5090576578,922.5501699562,844.6911343066,640.6222978791,430.3815952789,320.6577920234,388.166766343,512.6209658877,506.8849521934,419.6398453189,385.7688534729,555.2969418633,526.1687429969,711.1817891618,779.4683170118,1041.087109209,1443.9919238107,2062.4152121234,2878.8373053562,3868.5790144601,3347.8449003137,3531.4168783196,4299.0081363601,4539.4676892715,4804.6338258961,4707.5780978466,3683.5526074127,3308.7728284558,4170.3122802495
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,662.5200523095,662.9147925676,719.1572957039,699.3842920867,676.56673252,723.4096102379,639.4638992899,348.711317787,218.4921659026,380.5273710843,619.0651634471,760.5593757741,1046.3585107075,749.5846490146,865.3021617699,1098.4254634068,1175.7889807947,1326.9703392981,1453.6427765718,1890.6815573351,2416.5882350519,2709.1429306139,3005.0129033185,3603.0136853664,4370.5396465315,4114.1365449095,4094.3588319192,4437.1780684361,4247.6143082625,4413.081696706,4578.6667275326,3952.8307811659,4131.8723406527,4537.8624924478
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,3238.5568497733,3498.1736515232,4217.1735811425,5342.1685604421,6319.7390338484,7169.1010055956,7152.3751336105,7751.3702157589,9129.7061851808,11820.8493928325,12377.4116456877,10372.232834745,9610.2663083158,8022.6547812816,7728.9066945694,7774.3938290348,10361.8159820255,12616.167565929,14304.3569645785,15166.437850754,18878.5059692988,19532.5401504525,20547.7117897897,16516.4710272204,16234.8090102012,18461.0648581512,19017.1745902241,18353.0597218473,18894.5214963227,19261.7105038886,21936.5301014708,22228.8464928922,24741.4935704562,32776.4422698769,38503.4796144857,41282.0201219785,43748.7721588999,48582.8084550866,47785.6590856793,43339.3798746543,39736.3540626699,41098.7669417228,38391.0808669785,40619.7112977795,42294.9947269717,36038.2676044596,37231.8156714154,39146.5488360905
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,222.619524565,238.8353007194,256.3410594221,289.4548660636,334.9793533342,413.9684836263,768.9506961797,825.7461025045,996.3442729887,1114.0534179817,1182.4590612632,1549.7533704872,2040.3960126787,2037.3007906336,1837.0878281507,1669.550455587,1640.870233668,1571.561422048,1451.2718085413,1525.229080608,1457.9792689974,1486.3631032931,1987.839701184,1904.6160337737,2004.0099053499,1974.2757754204,1969.7023445517,2052.1430328449,2215.9349147627,2299.1510572456,2169.7892128946,2313.7899714215,2588.7429027848,2495.3663120257,2462.791441608,2721.6157208395,3117.6608059915,3745.7909307621,4336.7185833826,4937.5982163875,6115.2437466748,5158.2505055008,5917.2457238737,6854.8445260232,7463.3997225103,7508.5733012774,7452.814676505,6413.3771611793,6151.1809268522,6251.1415751198
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,26556.080029911,29698.1692220993,33245.8360986374,27897.3270935772,32798.4782338538,41825.995457574,44012.333067279,39193.7409726279,34159.0373526707,31709.2543340905,29189.1677892304,23056.1045271808,23312.9295261613,21907.5979773605,23612.7451969684,27256.2909428352,26168.2666231036,25993.558007767,25199.3495771446,25467.1922190635,26847.080053195,28615.5821410126,29199.524610859,26663.3087045186,28260.0050167828,33071.2686869422,31061.5293454235,31311.3593562152,33230.5231807291,36161.1706068291,39439.8019679284,42372.2216623658,42672.6132294857,45758.9055356627,33072.5751663719,35037.8926731322,40434.3663503001,42086.689953233,43315.1414921653,44443.0615141941,39122.0497054272,38517.8003858029,40698.8493360368
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,1148.5799570666,845.0771842022,1166.3173995762,1272.010496008,1266.3449885815,1057.7556614712,1136.5178322317,1324.082934707,1317.4877550267,1366.3547264944,1401.4877945432,2083.9722181289,2824.6509151884,2011.6890403249,1932.590782074,2112.5011733679,2129.313793113,2501.4807528774,2738.284723185,2756.3969813236,2907.7576270116,3530.1317831417,2643.3693981316,2909.5166101341,3595.0858982317,3546.7188201556,3969.3274116628,2375.3391027256,4318.7746995077,5715.504396573,6798.0267627293,6940.3503580691,7449.4803897724,7373.4282456824,7683.5740648377,8172.6643230617,8248.7619886434,7736.3696225405,7669.2739155407,7170.6946736519,2579.1931682121,3330.4370058355,4251.5743481987,5076.8838291729,5878.7610273521,7193.6176397352,8953.3592752628,8161.3069664865,10276.2604977053,12726.9083594731,12969.7071238969,12976.6364245411,12245.2564487696,13698.2934384857,12654.3549989958,14401.9748546081
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.8557411616,590.1222257416,369.6333681287,357.2043398714,400.5160918861,456.3758997546,504.0595140415,523.283569096,609.173025391,597.4334817348,622.742747688,694.4305119323,783.26160987,930.1661567015,1191.9619199071,1643.7585429815,2158.0029089546,3138.8087034125,4010.0269972269,2993.8325310903,3218.3816548847,3526.9781426766,3684.8048103265,3843.5912130934,3994.7123547957,3617.9357455518,3605.7431168426,3936.7983196529
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8751.7665287497,8914.5254326167,8639.3088552916,8508.4069149836,8456.9479965899,8980.5364143481,9871.9971944591,12058.26382343,10352.8227618312,10375.9942154736,11660.329531052,11589.8530023324,11598.7517362051,11865.9632317194,11834.7452292307,
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,1063.4201130805,1198.5070827196,1483.5159798031,1789.5895677819,2023.3999499184,2268.789977588,2542.5272702175,2946.2403938049,3452.5225119075,4220.961620546,4969.7818829958,5944.6708929694,6585.8402416104,6889.0049489336,7156.8534228733,7296.551772665,7652.102973745,8218.5974789469,7841.4640342947,8379.5767391658,8755.1564994547,9115.2345317227,9363.1866398544,9932.0297877318,9414.160612992,9443.0637021924,9801.9670662151,10419.311195125,11452.7388020156,12812.7644704316,14350.9190458994,14797.3684231605,13082.2816597386,12174.6978594572,11931.2041070835,12517.5579290917,12194.6087607071,12946.9869363675,13659.1479142644,14462.1762794658,15021.7381833074
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,1807.3497840702,1874.3047677029,1851.4248162113,1963.6390786576,2127.566901594,2277.0666755098,2339.8619377642,2575.6200773301,2719.4297971224,2986.2188893332,3299.0372966455,3489.0866012954,3942.8124195444,4762.479304497,6471.5541648313,6992.5389753621,7474.8623584848,7763.1307719544,8239.9548247519,9279.2535948048,10191.8160604335,11830.8653178352,12763.3236063969,11515.8064658839,12428.8579338162,11434.8898883603,11360.527656765,11623.3596704092,14257.022162373,17801.2682666586,18214.8369843135,18824.2474038288,18569.7687940943,17633.3813804079,18045.4390604354,20319.6306283956,21861.32550987,23468.5968306374,21318.9641694318,20521.7775705928,21669.410913094,19482.5679026647,20074.2293129481,23437.3121454327,30401.5547862944,33961.6818019217,36019.203051188,40905.4708936845,49535.2578737769,42709.8033034787,51936.8887116461,62411.7854473961,67864.6898624672,67990.2900304798,62327.5559390333,56561.4123818054,49896.6811009246,53799.9380899599
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,935.4604268504,1031.8150043291,1087.8342434189,1167.0005324459,1269.4125828926,1374.5321398608,1486.9686060057,1569.6671828997,1677.6735280427,1825.3861255212,2058.7690792261,2380.9784433325,2924.0488711006,3890.7224564763,4630.7572070671,5285.6207241412,5678.3866378227,6810.6277286986,8205.4689270282,9793.7653072463,10869.5464236099,9385.2490183215,9410.3472245799,9537.4074305641,8991.0650760102,9172.0967688098,13083.0726978243,16392.7695665813,17578.6189397397,17468.9461918554,21680.9896863626,22410.9117362704,24880.164070125,24081.5278077646,25646.7006591684,30325.8495818396,29809.0767730821,26705.4785993891,27361.8751106437,27174.2971559775,24564.4582948404,24537.5142629883,26401.7454564357,32222.8972411655,36821.5214680093,38403.1338770715,40635.2818159724,46855.7717452095,51708.7657541758,47963.1794023217,46858.0432733717,51374.9584066934,48567.69528642,50716.7087062864,51704.5411875921,44206.7842820834,44731.0108553361,47290.9116498316
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237.324491677,1209.2374928496,676.1515114525,530.0903798068,436.190558582,397.1981161172,409.2167452168,505.5605732289,561.9103017355,573.8902561721,655.0974326026,703.6838434327,763.0730858471,883.6439965472,1045.02162987,1578.402390296,2473.0818186354,3851.4378687117,5574.6038021861,4950.2947914238,5842.8057835858,7189.6912292077,7496.2946476826,7875.7569525429,7891.3131474999,5500.3103824441,3880.7387308956,4131.6183100506
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,70.3490786065,71.4872777291,73.7817649496,78.9002836003,86.6031946365,51.6573646771,52.4767229562,55.1316867125,55.2434041878,56.0788814179,70.2431270893,72.1295529413,69.639192547,85.0470001459,95.4139510509,114.6635856321,119.9073909207,143.2891278369,155.9176618429,194.9753860695,223.4072261815,229.458186673,233.8176710365,243.4238066397,215.9441862753,244.568937521,248.2101339269,226.8497157851,210.7500958902,210.9695202922,209.0516151612,210.6438771995,191.3109129814,162.6352249535,157.5430014566,167.7991716762,143.8532932872,159.1755281232,144.4746121911,128.6964397439,135.9984454657,133.7427689265,122.4335892964,112.8493702922,127.4296648033,150.5070433688,165.8794175614,170.7999004718,196.2472628314,204.9446501898,231.1943256492,260.4799073382,265.2856051313,282.7555252082,312.748979387,300.6765569253,285.7274420647,320.0868701209
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,1273.6916591029,1350.1976733312,1438.5232330684,1535.0237290104,1701.8462755432,1835.5947655319,1957.6260804276,2086.6360054465,2222.3615105191,2458.0818200377,2780.6961867833,3099.4301579454,3852.1417293329,4927.1959234948,5764.4898831925,6737.2482506932,7281.8177353643,8472.0544682791,10344.8471326448,11873.8354044821,12932.8605964577,10679.6638923607,9393.8766919308,8893.58613004,8502.5385967587,8797.6596788614,12235.1841374482,15216.8710172156,16478.831592157,16613.516652258,20710.6443430806,21154.2918385501,23497.7274067423,22403.2168180008,24338.1377018161,28565.9191516066,27701.903287059,25027.7445890682,25541.6747233656,25444.1392583071,23207.4059110078,23121.6011440246,25052.3393900855,30743.9025377208,35589.6891168402,36967.2591839688,38852.3729277437,44403.7668991523,48424.5755963147,44880.5730196227,44380.1766327308,47702.8118941685,44740.5832481477,46582.6695503412,47351.9741788818,40361.1541907535,41260.9775511468,43323.8073364711
