Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,Agricultural land (% of land area),AG.LND.AGRI.ZS,,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,11.1111111111,,
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,,57.745917961,57.8378212787,57.9144073768,58.0109058604,58.0139693043,58.0721747388,58.1732683883,58.1748001103,58.1993076617,58.2146248813,58.2605765401,58.2758937598,58.2789572037,58.2789572037,58.2789572037,58.2789572037,58.2820206476,58.2820206476,58.2804889257,58.2804889257,58.2866158135,58.2881475355,58.2881475355,58.2881475355,58.2881475355,58.2881475355,58.2743620378,58.266703428,58.266703428,58.266703428,58.2513862084,58.2513862084,58.1043409,57.9190025427,57.8270992249,57.825567503,57.8837729375,58.0017155286,57.8270992249,57.8270992249,57.8270992249,57.8270992249,58.067579573,58.0691112949,58.067579573,58.067579573,58.067579573,58.067579573,58.067579573,58.0691112949,58.067579573,58.067579573,58.067579573,58.067579573,58.067579573,,
Angola,AGO,Agricultural land (% of land area),AG.LND.AGRI.ZS,,45.8570626454,45.8811261731,45.8971685249,45.9212320526,45.9372744044,45.9613379321,45.9854014599,46.0094649876,46.0415496912,46.0415496912,46.0415496912,46.0415496912,46.0415496912,46.0415496912,46.0415496912,46.0415496912,46.0415496912,46.0415496912,46.0415496912,46.0415496912,46.0415496912,46.0415496912,46.0415496912,46.0415496912,46.0415496912,46.0415496912,46.0415496912,46.0415496912,46.0415496912,46.0447581615,46.0816555707,46.1217614502,46.1217614502,46.1217614502,46.1217614502,46.1217614502,46.1217614502,46.1217614502,46.0415496912,45.9613379321,45.9613379321,46.0335285153,46.1939520334,46.1939520334,46.1939520334,46.1939520334,46.2741637924,46.2741637924,46.7554343467,46.8356461057,47.31691666,47.31691666,47.4773401781,47.4773401781,47.4773401781,,
Albania,ALB,Agricultural land (% of land area),AG.LND.AGRI.ZS,,44.9635036496,44.9635036496,45,44.8905109489,45.1459854015,45.2554744526,45.401459854,45.2554744526,45.0729927007,44.8905109489,43.795620438,42.8467153285,41.8248175182,40.9489051095,39.4160583942,39.2335766423,40.4744525547,40.6569343066,40.7664233577,40.802919708,40.7299270073,40.6569343066,40.5109489051,40.6204379562,40.5839416058,40.5474452555,40.5474452555,40.7664233577,40.5109489051,40.9124087591,41.1313868613,41.1313868613,41.0948905109,41.0948905109,41.1313868613,41.2773722628,41.4233576642,41.5693430657,41.7883211679,41.7518248175,41.5693430657,41.6058394161,40.9124087591,40.9489051095,39.3065693431,40.8759124088,40.8394160584,43.102189781,43.8430656934,43.8430656934,43.8321167883,43.8430656934,43.3321167883,42.8572992701,42.8576642336,,
Andorra,AND,Agricultural land (% of land area),AG.LND.AGRI.ZS,,55.3191489362,55.3191489362,55.3191489362,55.3191489362,55.3191489362,55.3191489362,55.3191489362,55.3191489362,55.3191489362,55.3191489362,53.1914893617,53.1914893617,51.0638297872,51.0638297872,51.0638297872,48.9361702128,48.9361702128,48.9361702128,48.9361702128,48.9361702128,48.9361702128,48.9361702128,48.9361702128,48.9361702128,48.9361702128,48.9361702128,48.9361702128,48.9361702128,48.9361702128,48.9361702128,48.9361702128,48.9361702128,48.9361702128,48.9361702128,48.9361702128,48.9361702128,48.9361702128,48.9361702128,48.9361702128,48.9361702128,48.4042553191,48.6170212766,48.6382978723,48.5319148936,46.3829787234,46.3404255319,44.1914893617,44.170212766,44.1914893617,42.0638297872,42.0638297872,39.914893617,40.0212765957,40.0212765957,40.0212765957,,
Arab World,ARB,Agricultural land (% of land area),AG.LND.AGRI.ZS,,30.9442924785,30.9441456791,30.96711979,30.9765883533,30.999635864,31.0061684387,31.0574748399,31.0863943278,31.141811113,31.2043476707,31.3994441146,31.4467869311,31.4421816632,31.4947360138,31.4722756349,31.5409779704,31.5618235508,31.6044689108,31.6154055005,31.6943104264,31.3887171534,31.4129200467,31.4597051628,31.8712306842,32.3689145126,32.9511227657,33.5053069251,34.0963965698,34.6160534017,35.0274893752,35.1179327702,35.2790364012,39.2263335665,39.3704908195,39.471195377,39.5533635432,39.5498741156,39.5869924063,39.6014433635,39.6021553418,39.6368661182,39.7270011012,39.9065578544,39.9599789222,40.0593416052,40.0781795744,40.1235005132,40.0634208023,37.50697046,37.383395822,35.0597302423,35.0875793998,35.1659435282,35.2040052823,35.210645563,,
United Arab Emirates,ARE,Agricultural land (% of land area),AG.LND.AGRI.ZS,,2.4880382775,2.4880382775,2.4880382775,2.4880382775,2.5,2.5119617225,2.5119617225,2.5119617225,2.5119617225,2.5358851675,2.5358851675,2.5358851675,2.54784689,2.5598086124,2.5717703349,2.5837320574,2.5956937799,2.6076555024,2.6196172249,2.6674641148,2.7153110048,2.7153110048,2.7751196172,2.7751196172,2.8110047847,2.8468899522,2.8468899522,2.8588516746,2.8588516746,3.4090909091,3.7081339713,4.0550239234,4.2464114833,4.4497607656,4.5813397129,4.6889952153,4.7846889952,4.8205741627,6.2320574163,6.6028708134,6.7822966507,6.8301435407,6.6866028708,6.6866028708,6.7224880383,6.5023923445,6.4306220096,6.514354067,4.6997607656,4.7523923445,4.706937799,4.5657894737,4.5729665072,4.5729665072,4.5729665072,,
Argentina,ARG,Agricultural land (% of land area),AG.LND.AGRI.ZS,,50.3633951964,49.8536553282,49.2839890525,48.7073800832,48.1530608143,47.849043918,47.3941147883,47.2231052841,47.247587414,47.2395485057,47.1935074853,47.147466465,47.1014254446,47.0553844242,47.0093434039,46.9633023835,46.9172613632,46.8712203428,46.8251793225,46.7791383021,46.7330972818,47.0528265898,47.0071509744,46.9607445491,46.9147035287,46.8686625084,46.7495405033,46.5452791511,46.5781655942,46.6128790619,46.6475925297,46.6823059974,46.7170194651,46.7528291476,46.7882734252,46.8237177028,46.8577003607,46.8924138284,46.9223770321,46.9581867146,46.9932655873,47.0312676993,47.8254753005,49.090324443,50.3518849413,51.5600963207,52.6303673416,52.7136796641,52.542304755,53.8902835177,54.1826074565,54.538146447,54.5180491762,54.3357121194,54.3357121194,,
Armenia,ARM,Agricultural land (% of land area),AG.LND.AGRI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.095890411,41.4822620302,42.1496311907,43.6951176677,45.8728486126,46.7860906217,46.6455918511,46.4699683878,46.4699683878,46.6455918511,48.8584474886,50.7200561995,52.8626624517,56.3751317176,61.6930101862,61.5349490692,61.426062522,61.3382507903,60.9413417633,59.6452406041,59.114857745,59.0832455216,59.047769582,58.8840885142,,
American Samoa,ASM,Agricultural land (% of land area),AG.LND.AGRI.ZS,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,17.5,20,20,23.5,23.95,24,22.5,22.5,25.2,25,25,25,24,24,24.5,24.5,24.5,24.5,24.5,24.5,24.5,,
