Start date,End date,Country,ISO,Location,Latitude,Longitude,Magnitude value,Magnitude scale,Disaster type,Disaster subtype,Disaster name,Disaster No.
14/10/1990,15/10/1990,Brazil,BRA,"Santa Caterina, Blumenau",,,,Km2,Flood,Flash flood,,1990-0411
18/04/1990,19/04/1990,Brazil,BRA,Rio de Janiero,,,,Km2,Flood,Riverine flood,,1990-0710
19/03/1991,31/03/1991,Brazil,BRA,"Sao Paulo, Rio de Janeiro",,,89510,Km2,Flood,Riverine flood,,1991-0109
/04/1991,/04/1991,Brazil,BRA,Northeast,,,,Vaccinated,Epidemic,Bacterial disease,Cholera,1991-0135
19/06/1991,19/06/1991,Brazil,BRA,Tucurui,,,,,Insect infestation,--,Mosquitoes,1991-0389
10/01/1991,18/01/1991,Brazil,BRA,"Minas Gerais, Rio de Janeiro",,,,,Landslide,Landslide,,1991-0478
01/02/1992,12/02/1992,Brazil,BRA,"Minas Gerais, Bahia states",,,,Km2,Flood,Riverine flood,,1992-0013
04/01/1992,05/01/1992,Brazil,BRA,"Petropolis, Teresopolis, Barra Mansa, Nova Iguacu, Rio De Janeiro (Rio de Janeiro state)",,,,Km2,Flood,Riverine flood,,1992-0014
18/03/1992,20/03/1992,Brazil,BRA,"Barraguinha (Near Belo Horizonte, Minas Gerais state)",,,,,Landslide,Mudslide,,1992-0042
01/04/1992,02/07/1992,Brazil,BRA,"Rio do Sul, Santa Catarina, Parana states",,,,Km2,Flood,Riverine flood,,1992-0076
24/02/1992,01/03/1992,Brazil,BRA,Mato Grosso do Sul,,,,Km2,Flood,Riverine flood,,1992-0183
//1994,//1994,Brazil,BRA,,,,,Km2,Drought,Drought,,1994-9207
07/02/1995,07/02/1995,Brazil,BRA,Sao Paulo,,,,,Landslide,Mudslide,,1995-0028
22/04/1995,22/04/1995,Brazil,BRA,"Near Fortaleza (Ceara state), Teresina (Piaui State)",,,,Km2,Flood,--,,1995-0068
31/05/1995,31/05/1995,Brazil,BRA,Salvador,,,,,Landslide,Landslide,,1995-0092
/01/1995,/01/1995,Brazil,BRA,,,,,Vaccinated,Epidemic,Viral disease,Dengue fever,1995-0219
14/12/1995,14/12/1995,Brazil,BRA,Minas Gerais,,,,Km2,Flood,--,,1995-0289
25/12/1995,25/12/1995,Brazil,BRA,"Santa Catarina, Florianopolis",,,,Km2,Flood,Riverine flood,,1995-0301
01/01/1996,04/01/1996,Brazil,BRA,"Sao Paulo City, Sao Jose dos Campos",,,,Km2,Flood,Riverine flood,,1996-0003
20/02/1996,20/02/1996,Brazil,BRA,"Rio de Janeiro, Sao Paulo",,,,,Landslide,Mudslide,,1996-0028
21/04/1996,21/04/1996,Brazil,BRA,Salvador City,,,,,Landslide,Landslide,,1996-0077
29/04/1996,29/04/1996,Brazil,BRA,Recife city,,,,,Landslide,Landslide,,1996-0080
06/01/1997,06/01/1997,Brazil,BRA,"Minas Gerais, Rio de Janeiro states",,,,Km2,Flood,--,,1997-0002
22/01/1997,27/01/1997,Brazil,BRA,Sao Paulo,,,,Km2,Flood,Riverine flood,,1997-0077
15/10/1997,22/10/1997,Brazil,BRA,"Rio Grande Do Sul, Santa Catarina, Parana",,,,Km2,Flood,Riverine flood,,1997-0249
30/12/1997,30/12/1997,Brazil,BRA,,,,,Vaccinated,Epidemic,Viral disease,,1997-0512
02/03/1998,02/03/1998,Brazil,BRA,Sao Paulo state,,,,Km2,Flood,--,,1998-0060
15/03/1998,15/03/1998,Brazil,BRA,"Alta Alegre, Amajari, Apiau, Bom-Pim, Canta, Caracarai, Iracema, Maraca, Macajai, Normandia, Pacaraima, Uiramuta municipalities (Roraima state)",,,9254,Km2,Wildfire,"Land fire (Brush, Bush, Pasture)",,1998-0070
11/04/1998,08/05/1998,Brazil,BRA,,,,,Km2,Flood,--,,1998-0080
//1998,//1998,Brazil,BRA,Macaos,,,,Km2,Flood,--,,1998-0081
/05/1998,/05/1998,Brazil,BRA,"Minas Gerais, Espiritu Santo, Paraiba, Sergipe, Rio de Janeiro",,,,Vaccinated,Epidemic,Viral disease,Dengue fever,1998-0148
30/07/1998,30/07/1998,Brazil,BRA,Natal,,,,Km2,Flood,--,,1998-0242
11/09/1998,11/09/1998,Brazil,BRA,"Tocantins, Para Mato Grosso, Rondonia",,,14973,Km2,Wildfire,Forest fire,,1998-0326
03/10/1998,14/10/1998,Brazil,BRA,Parana,,,,Km2,Flood,Riverine flood,,1998-0332
/02/1998,22/10/1998,Brazil,BRA,Itaituba and Floresta Municipalities (Para State) and Alto Alegre and Mucajai Municipalities (Roraima State),,,,Vaccinated,Epidemic,Viral disease,Yellow Fever,1998-0590
12/11/1998,23/11/1998,Brazil,BRA,"Cortez municipality (Mata-Sul region, Pernambuco state)",,,,Vaccinated,Epidemic,Bacterial disease,Cholera,1998-0591
/04/1998,//1999,Brazil,BRA,"Nord East, Piaui State",,,,Km2,Drought,Drought,,1998-9114
/03/1999,/03/1999,Brazil,BRA,"San Pablo, San Paulo",,,,Km2,Flood,--,,1999-0082
21/05/1999,21/05/1999,Brazil,BRA,Salvador,,,,,Landslide,Mudslide,,1999-0190
/09/1999,/09/1999,Brazil,BRA,"Mato Grosso, Mato Grosso do Sul",,,1500,Km2,Wildfire,"Land fire (Brush, Bush, Pasture)",,1999-0329
/03/1999,31/03/1999,Brazil,BRA,Paranagua (Parana state),,,,Vaccinated,Epidemic,--,Cholera,1999-0718
01/01/2000,06/01/2000,Brazil,BRA,"Rio de Janeiro city (Rio de Janeiro district, Rio de Janeiro province), Sao Paulo city (Sao Paulo district, Sao Paulo province), Campos de Jordao city (Campos de Jordao district, Sao Paulo province). Volta Redonda district (Rio de Janeiro province), Barra Mansa district (Rio de Janeiro province), Resende district (Rio de Janeiro province), Pirangucu district (Minas Gerais province), Santa Rita do Sapucai district (Minas Gerais province). ",,,350000,Km2,Flood,Riverine flood,,2000-0019
30/07/2000,17/08/2000,Brazil,BRA,"Alagoas, Pernambuco provinces",,,,,Landslide,Mudslide,,2000-0466
16/09/2000,18/09/2000,Brazil,BRA,"Recife city (Recife district, Pernambuco province), Jaboatao Dos Guararapes, Moreno districts (Pernambuco province)",,,3000,Km2,Flood,Riverine flood,,2000-0590
12/10/2000,15/10/2000,Brazil,BRA,Rio Grande Do Sul province,,,10250,Km2,Flood,Riverine flood,,2000-0666
17/12/2000,26/12/2000,Brazil,BRA,"Belo Horizonte district (Minas Gerais province), Santos, Guaruja districts (Sao Paulo province), Santa Leopoldina district (Espirito Santo province), Alto Feliz district (Rio Grande do Sul province)",,,578300,Km2,Flood,Riverine flood,,2000-0809
25/04/2001,26/04/2001,Brazil,BRA,Cuiaba district (Mato Grosso province),,,5180,Km2,Flood,Riverine flood,,2001-0213
24/12/2001,25/12/2001,Brazil,BRA,"Rio de Janeiro city (Rio de Janeiro district, Rio de Janeiro province), Petropolis, Paracambi, Duque de Caxias, Belford Roxo, Niteori, Japeri, Bom Jardim districts (Rio de Janeiro province)",,,9990,Km2,Flood,Flash flood,,2001-0696
19/11/2001,23/11/2001,Brazil,BRA,"Jaguare, Rio Banal, Nova Venecia districts (Espirito Santo province), Minas Gerais province",,,45210,Km2,Flood,Riverine flood,,2001-0723
/06/2001,//2001,Brazil,BRA,Pernambuco province,,,,Km2,Drought,Drought,,2001-9394
03/02/2002,05/02/2002,Brazil,BRA,Teofilo Otoni district (Minas Gerais province),,,2250,Km2,Flood,Riverine flood,,2002-0082
01/01/2002,25/04/2002,Brazil,BRA,Rio de Janeiro state,,,,Vaccinated,Epidemic,Viral disease,Dengue,2002-0154
12/06/2002,19/06/2002,Brazil,BRA,Porto Alegre district (Rio Grande do Sul province),,,18940,Km2,Flood,Riverine flood,,2002-0403
09/12/2002,12/12/2002,Brazil,BRA,"Angra Dos Reis district, Rio de Janeiro province",,,0,,Landslide,Mudslide,,2002-0824
21/12/2002,21/12/2002,Brazil,BRA,Teresopolis district (Rio de Janeiro province),,,0,,Landslide,Mudslide,,2002-0830
/09/2002,//2002,Brazil,BRA,"Minas Gerais, Paraiba, Rio Grande do Norte, Pernambuco, Piaui provinces",,,,Km2,Drought,Drought,,2002-9605
14/01/2003,24/01/2003,Brazil,BRA,"Rio de Janeiro, Sao Paulo, Minas Gerais, Santa Catarina, Espirito Santo provinces",,,6740,Km2,Flood,Riverine flood,,2003-0028
27/10/2003,31/10/2003,Brazil,BRA,Rio Grande do Sul province,,,73220,Km2,Flood,Riverine flood,,2003-0521
29/11/2003,29/11/2003,Brazil,BRA,"Baia Branca municipality (Mage district), Rio de Janeiro city (Rio de Janeiro district, Rio de Janeiro province), Seropedica, Sao Jao de Meriti, Duque de Caxias, Nova Iguacu districts (Rio de Janeiro province)",,,,Km2,Flood,Riverine flood,,2003-0579
/12/2003,19/02/2004,Brazil,BRA,"Permnambouc, Bahia, Piaui, Alagoas, Ceara, Sergipe, Sao Paulo, Minas Girais, Rio de Janeiro, Espirito Santo provinces",,,,Km2,Flood,Riverine flood,,2003-0673
11/01/2003,04/02/2003,Brazil,BRA,"Belo Horizonte, Contagem, Raposos, Riberao das Neves districts (Minas Gerais province), Rio de Janeiro, Petropolis, Paty de Alferes, Niteroi , Engenheiro Paulo De Frontin districts (Rio de Janeiro province), Sao Paulo city (Sao Paulo district, Sao Paulo province)",,,75950,Km2,Flood,Riverine flood,,2003-0730
01/06/2004,02/06/2004,Brazil,BRA,Maceio district (Alagoas province),,,150,Km2,Flood,Riverine flood,,2004-0236
17/06/2004,18/06/2004,Brazil,BRA,"Alagoa Grande city (Alagoa Grande district, Para�ba province)",,,150,Km2,Flood,Flash flood,,2004-0317
/12/2004,/03/2005,Brazil,BRA,"Rio Grande Do Sul, Paraiba, Ceara, Piaui, Sergipe, Alagoas, Bahia, Rio Grande do Norte, Pernambuco provinces",,,,Km2,Drought,Drought,,2004-9705
29/01/2005,11/02/2005,Brazil,BRA,"Aracatuba, Jales, Glicerio, Sao Jose do Rio Preto, Rio Claro districts (Sao Paulo province), Unai district (Minas Gerais province)",,,184290,Km2,Flood,Riverine flood,,2005-0054
01/06/2005,04/06/2005,Brazil,BRA,"Recife, Vitoria de Santo Antao, Jaboatao dos Guararapes districts (Pernambuco province)",,,6050,Km2,Flood,Riverine flood,,2005-0296
/10/2005,/10/2005,Brazil,BRA,"Manaquiri, Atalaia Do Norte, Anori, Caapiranga districts (Amazonas province)",,,,Km2,Drought,Drought,,2005-9569
27/01/2006,30/01/2006,Brazil,BRA,Rio de Janeiro district (Rio de Janeiro province),-22.56,-43.36,9335,Km2,Flood,Flash flood,,2006-0038
25/03/2006,23/04/2006,Brazil,BRA,"Maraba, Porto de Moz, Capitao Poco, Almeirim, Anajas districts (Para province)",2.81,-52.29,1164000,Km2,Flood,Riverine flood,,2006-0201
01/01/2007,12/01/2007,Brazil,BRA,"Sumidouro municipality (Sumidouro district, Rio de Janeiro province), Nova Friburgo municipality (Nova Friburgo district, Rio de Janeiro province), Petropolis, Teresopolis, Queimados districts (Rio de Janeiro province), Jundiai district (Sao Paulo province), Minas Gerais, Espirito Santo provinces",-22.42,-44,210600,Km2,Flood,Flash flood,,2007-0003
10/01/2007,10/01/2007,Brazil,BRA,"Mirai, Muriae districts (Minas Gerais province)",,,,,Landslide,Mudslide,,2007-0015
24/09/2007,30/09/2007,Brazil,BRA,Rio Grande do Sul province,-30.25,-52.67,127400,Km2,Flood,--,,2007-0465
24/10/2007,27/10/2007,Brazil,BRA,"Mesquita (Nova Igua�u district, Rio de Janeiro province), Guaratiba city (Rio de Janeiro district, Rio de Janeiro province), Duque de Caxias, Sao Joao de Meriti, Nilopolis, Belford Roxo, Queimados districts (Rio de Janeiro province)",-22.72,-43.42,730,Km2,Flood,Riverine flood,,2007-0528
09/12/2007,09/12/2007,Brazil,BRA,"Itacarambi, Januaria, Manga, Varzelandia districts (Minas Gerais province)",-15.048,-44.231,4.9,Richter,Earthquake,Ground movement,,2007-0653
/10/2007,//2007,Brazil,BRA,"Ceara, Piaui, Maranhao, Tocantins, Minas Gerais provinces",,,,Km2,Drought,Drought,,2007-9514
12/01/2008,16/01/2008,Brazil,BRA,"Cajati, Peruibe, Jacupiranga, Sao Jose dos Campos, Itariri, Pariquera-acu, Miracatu, Juquia, Iguape, Eldorado districts (Sao Paulo province)",-24.5,-47.88,23020,Km2,Flood,Riverine flood,,2008-0016
02/02/2008,06/02/2008,Brazil,BRA,"Itaipava city (Petr�polis district, Rio De Janeiro province)",-22.37,-43.13,290,Km2,Flood,Riverine flood,,2008-0041
/03/2008,/11/2008,Brazil,BRA,"Rio de Janeiro, Angra do Reis, Campos dos Goytacasez, Nova Iguacu, Duque de Caxias municipalities",,,,Vaccinated,Epidemic,Viral disease,Dengue and Hemorrhagic fever outbreaks,2008-0065
30/03/2008,04/04/2008,Brazil,BRA,"Paraiba, Piaui, Rio Grande do Norte, Maranhao, Pernambuco, Ceara provinces",-5.36,-41.68,1120000,Km2,Flood,Riverine flood,,2008-0125
22/11/2008,24/11/2008,Brazil,BRA,"Blumenau, Ilhota, Gaspar, Jaragua do Sul, Sao Bonifacio, Sao Joao da Bastida, Rio dos Cedros, Garuva, Itapoa, Benedito Novo, Luiz Alves districts (Santa Catarina province)",-25.1,-49.34,103400,Km2,Flood,Riverine flood,,2008-0549
20/01/2009,27/01/2009,Brazil,BRA,"Rio de Janeiro, Cachoeiras de Macacu, Nova Friburgo, Angra dos Reis districts (Rio de Janeiro province), Minas Gerais province",-16.59,-44.89,1186000,Km2,Flood,Riverine flood,,2009-0017
//2009,31/03/2009,Brazil,BRA,"Acre, Roraima, Espiritu Santo, Bahia, Mato Grosso, Minas Gerais states",,,,Vaccinated,Epidemic,Viral disease,Dengue,2009-0128
22/04/2009,14/05/2009,Brazil,BRA,"Maranhao, Ceara, Alagoas, Para, Paraiba, Pernambuco, Bahia, Amazonas, Santa Catarina, Piaui, Rio Grande do Norte provinces",-3.19,-45.43,524400,Km2,Flood,Riverine flood,,2009-0163
28/05/2009,28/05/2009,Brazil,BRA,Cocal district (Piaui province),,,,Km2,Flood,Riverine flood,,2009-0207
20/06/2009,21/06/2009,Brazil,BRA,"Manaus city (Manaus district, Amazonas province)",,,,Km2,Flood,Riverine flood,,2009-0238
12/11/2009,13/11/2009,Brazil,BRA,"Tres Rios, Tangua, Belford Roxo, Duque de Caxias, Valenca, Nova Iguacu, Natividade districts (Rio de Janeiro province)",-22.54,-43.12,47900,Km2,Flood,Riverine flood,,2009-0512
21/11/2009,30/11/2009,Brazil,BRA,Rio Grande do Sul province,56.4778,31.26,,Km2,Flood,Riverine flood,,2009-0531
02/11/2009,02/11/2009,Brazil,BRA,Espirito Santo province,,,,Km2,Flood,Riverine flood,,2009-0560
31/12/2009,28/01/2010,Brazil,BRA,"Iiha Grande Island (Angra dos Reis district, Rio de Janeiro province), Juiz de Fora district (Minas Gerais province)",-22.98,-44.07,55640,,Landslide,Mudslide,,2009-0600
04/04/2010,12/04/2010,Brazil,BRA,"Niteroi, Sao Goncalo, Rio de Janeiro districts (Rio de Janeiro province)",-22.44,-43.33,,Km2,Flood,Riverine flood,,2010-0147
19/06/2010,23/06/2010,Brazil,BRA,"Alagoas, Pernambuco provinces",,,,Km2,Flood,Riverine flood,,2010-0248
/11/2010,/01/2011,Brazil,BRA,"Minas Gerais, Rio de Janeiro, Sao Paulo provinces",,,,Km2,Flood,Riverine flood,,2010-0674
/01/2011,//2011,Brazil,BRA,,,,,Vaccinated,Epidemic,Viral disease,Dengue,2010-0680
/10/2010,//2010,Brazil,BRA,Amazonas province,,,,Km2,Drought,Drought,,2010-9556
11/01/2011,12/01/2011,Brazil,BRA,"Nova Friburgo, Petropolis, Teresopolis districts (Rio De Janeiro province)",,,587384,Km2,Flood,Riverine flood,,2011-0014
12/03/2011,18/03/2011,Brazil,BRA,"Santa Cartarina, Parana, Espirito Santo, Mato Grosso,  Mato Grosso do Sul, Rio Grande Do Sul province",-23.783,-48.16,12444,Km2,Flood,Riverine flood,,2011-0086
21/04/2011,24/04/2011,Brazil,BRA,Rio Grande do Sul province,-28.28,-52.91,306993,Km2,Flood,Riverine flood,,2011-0142
08/05/2011,11/05/2011,Brazil,BRA,Pernambuco province,,,288020,Km2,Flood,Riverine flood,,2011-0187
15/07/2011,19/07/2011,Brazil,BRA,"Pernambuco, Paraiba, Rio Grande do Sul provinces",-8.65047,-38.11,200669,Km2,Flood,Riverine flood,,2011-0213
/09/2011,/09/2011,Brazil,BRA,Santa Catarina province,,,,Km2,Flood,Riverine flood,,2011-0361
23/07/2011,29/07/2011,Brazil,BRA,Rio Grande do Sul province,-30.34,-52.64,129795,Km2,Flood,Riverine flood,,2011-0427
/12/2011,/01/2012,Brazil,BRA,"Minas Gerais, Espirito Santo, Rio de Janeiro provinces",,,,Km2,Flood,Riverine flood,,2011-0626
20/02/2012,26/03/2012,Brazil,BRA,Acre province,-10.4897,-67.99,172063,Km2,Flood,Riverine flood,,2012-0075
