sep=,
"Start date","End date",Country,ISO,Location,Latitude,Longitude,"Magnitude value","Magnitude scale","Disaster type","Disaster subtype","Disaster name","Disaster No."
26/03/1973,26/03/1973,Brazil,BRA,"East, Central, along Cartinga",,,,Km2,Flood,--,,1973-0019
/03/1974,/03/1974,Brazil,BRA,"Most of the country",,,,Km2,Flood,--,,1974-0015
/05/1974,/05/1974,Brazil,BRA,"North East (Ceara)",,,,,Landslide,Landslide,,1974-0024
23/10/1974,23/10/1974,Brazil,BRA,"Sao Tome",,,,,Landslide,Landslide,,1974-0053
01/01/1974,01/01/1974,Brazil,BRA,"Sao Paulo",,,,Vaccinated,Epidemic,"Bacterial disease",,1974-0127
/07/1975,/07/1975,Brazil,BRA,Parana,,,,°C,"Extreme temperature ","Cold wave",,1975-0039
18/07/1975,18/07/1975,Brazil,BRA,"Pernambuco, Recife (North East areas)",,,,Km2,Flood,--,,1975-0042
/07/1975,/07/1975,Brazil,BRA,"Pernambuco, Recife (North East areas)",,,,Vaccinated,Epidemic,"Bacterial disease",,1975-0068
/12/1975,/12/1975,Brazil,BRA,,,,,°C,"Extreme temperature ","Heat wave",,1975-0145
/05/1977,/05/1977,Brazil,BRA,Recife,,,,Km2,Flood,--,,1977-0061
17/06/1977,17/06/1977,Brazil,BRA," Aracaju, Sergipe",,,,Kph,Storm,--,,1977-0077
09/08/1977,09/08/1977,Brazil,BRA,"Rio Grande Do Sul",,,,Km2,Flood,--,,1977-0105
/01/1977,/01/1977,Brazil,BRA,,,,,Km2,Flood,--,,1977-0232
//1977,//1977,Brazil,BRA,"North East",,,,Km2,Drought,Drought,,1977-9006
/01/1978,/01/1978,Brazil,BRA,"South Eastern",,,,Km2,Flood,--,,1978-0006
//1978,//1978,Brazil,BRA,"Central and Southern",,,,Km2,Drought,Drought,,1978-9005
/01/1979,/01/1979,Brazil,BRA,"Minas Gerais, Espirito Santo (East-Central)",,,,Km2,Flood,--,,1979-0003
//1979,//1979,Brazil,BRA,Northeastern,,,,Km2,Drought,Drought,,1979-9012
/01/1980,/01/1980,Brazil,BRA,"Minas Gerais state",,,,Km2,Flood,--,,1980-0008
/02/1980,/02/1980,Brazil,BRA,"North, Central",,,,Km2,Flood,--,,1980-0031
25/06/1980,25/06/1980,Brazil,BRA,"Irati town",,,,Kph,Storm,"Convective storm",,1980-0054
/04/1981,/04/1981,Brazil,BRA,NorthEastern,,,,Km2,Flood,--,,1981-0041
02/12/1981,02/12/1981,Brazil,BRA,"Rio de Janeiro state",,,,Km2,Flood,--,,1981-0105
/06/1982,/06/1982,Brazil,BRA,"Parana state",,,,Kph,Storm,--,,1982-0071
/01/1983,/01/1983,Brazil,BRA,"Minas Gerais state",,,,Km2,Flood,--,,1983-0001
/05/1983,/05/1983,Brazil,BRA,Southern,,,,Km2,Flood,--,,1983-0075
/12/1983,/12/1983,Brazil,BRA,,,,,,Landslide,Landslide,,1983-0204
/09/1983,//1983,Brazil,BRA,"Northeast, Sertao",,,,Km2,Drought,Drought,,1983-9206
/04/1984,/04/1984,Brazil,BRA,"Recife, Salvador",,,,Km2,Flood,--,,1984-0032
/05/1984,/05/1984,Brazil,BRA,"Northeast Brazil",,,,Vaccinated,Epidemic,--,Gastroenteritis,1984-0039
/06/1984,/06/1984,Brazil,BRA,"Rio Grande Do Sul",,,,Km2,Flood,--,,1984-0049
/06/1984,/06/1984,Brazil,BRA,"Santa Catarina",,,,Km2,Flood,--,,1984-0050
09/10/1984,09/10/1984,Brazil,BRA,Maravilha,,,,Kph,Storm,"Convective storm",,1984-0093
/12/1984,/12/1984,Brazil,BRA,"Minas Gerais, Rio de Janeiro, Sao Paulo, Espirito Santo",,,,Km2,Flood,--,,1984-0114
/05/1984,/05/1984,Brazil,BRA,"Paraiba state",,,,Km2,Flood,--,,1984-0168
/04/1985,/04/1985,Brazil,BRA,"Ceara, Maranhao, Piaui, Rio Grande do Norte, Paraiba, Pernambuco",,,678500,Km2,Flood,"Riverine flood",,1985-0050
30/09/1985,30/09/1985,Brazil,BRA,"Itabirinha De Mantena, Ipatinga, Teofilo Otoni (Minas Gerais state)",,,,Kph,Storm,"Convective storm",,1985-0112
/12/1985,/12/1985,Brazil,BRA,"Bahia state",,,,Km2,Flood,--,,1985-0136
/11/1985,//1985,Brazil,BRA,"Rio Grande Do Sul",,,,Km2,Drought,Drought,,1985-9011
/04/1986,/04/1986,Brazil,BRA,"Rio Grande Do Sul",,,,Km2,Flood,--,,1986-0049
/08/1986,/08/1986,Brazil,BRA,,,,,Vaccinated,Epidemic,"Viral disease","Dengue fever",1986-0087
30/11/1986,30/11/1986,Brazil,BRA,"Joao Camara, Pobo Branco","3.58 S","62.42 W",5.3,Richter,Earthquake,"Ground movement",,1986-0141
26/01/1987,26/01/1987,Brazil,BRA,"Franco Da Rocha district, Sao Paulo",,,,Km2,Flood,"Riverine flood",,1987-0052
25/12/1987,25/12/1987,Brazil,BRA," Minas Gerais",,,,Km2,Flood,--,,1987-0233
/06/1987,//1988,Brazil,BRA,"Alagoas,  Minas, Bahia, Maranhao, Piaui, Ceara, Rio Grande Do Norte, Paraiba, Pernambuco, Sergipe, Mina Gerais states",,,,Km2,Drought,Drought,,1987-9103
02/02/1988,02/02/1988,Brazil,BRA,"Baixada Fluminense, Petropolis, Rio de Janeiro, Teresopolis cities (Rio De Janeiro state)",,,,Km2,Flood,"Riverine flood",,1988-0071
/05/1988,/05/1988,Brazil,BRA,,,,,°C,"Extreme temperature ","Cold wave",,1988-0191
/07/1988,/07/1988,Brazil,BRA,"Pilar, Marechal, Deodoro, Murici, Capela, Atalaia, Vicosa (Alagoas, Pernambuco)",,,,Km2,Flood,"Riverine flood",,1988-0285
//1988,//1988,Brazil,BRA,,,,,Km2,Flood,--,,1988-0681
/02/1988,/02/1988,Brazil,BRA,"Rio de Janeiro state",,,,Vaccinated,Epidemic,"Bacterial disease",,1988-0704
/02/1988,//1988,Brazil,BRA,"Rio Grande Do Sul, Santa Catarina",,,,Km2,Drought,Drought,,1988-9064
21/04/1989,21/04/1989,Brazil,BRA,"Maranhao, Piavi, Ceara, Rio Grande do Norte, Paraiba, Pernambuco, Alagoas, Sergipe, Para",,,,Km2,Flood,--,,1989-0061
19/07/1989,19/07/1989,Brazil,BRA,"Ceara, Pernabuco, Alagoas, Sergipe",,,,Km2,Flood,"Riverine flood",,1989-0064
28/12/1989,28/12/1989,Brazil,BRA,"Bahia, Minas Gerais, Goias, Tocantins provinces",,,7072,Km2,Flood,"Riverine flood",,1989-0141
20/05/1989,20/05/1989,Brazil,BRA,"Salvador, Santo Amaro Da Purificado (Central Bahia)",,,,,Landslide,Mudslide,,1989-0157
12/04/1989,12/04/1989,Brazil,BRA," Paraiba state",,,,Km2,Flood,--,,1989-0362
27/04/1989,27/04/1989,Brazil,BRA,Roraima,,,,,Landslide,Landslide,,1989-0439
