date,composite_ind,columbian_milds,other_milds,brazilian_nat,robustas
2017-08-01,130.82,158.74,153.49,136.18,104.83
2017-08-02,133.23,162.06,156.95,139.18,105.86
2017-08-03,133.11,161.91,156.81,139.15,105.69
2017-08-04,133.05,161.81,156.85,138.97,105.67
2017-08-07,134.72,163.77,158.87,141.04,106.73
2017-08-08,135.23,164.91,159.52,141.52,107.02
2017-08-09,134.65,164.32,159.56,141.49,105.59
2017-08-10,131.77,160.68,155.66,138.16,103.94
2017-08-11,132.88,161.12,156.74,138.79,105.64
2017-08-14,130.49,158.94,153.57,135.93,104.04
2017-08-15,126.8,154.12,148.82,131.58,101.86
2017-08-16,126.35,153.65,148.07,130.76,101.89
2017-08-17,124.54,150.96,145.68,127.61,101.76
2017-08-18,125.26,150.79,145.44,127.29,104.18
2017-08-21,124.82,149.52,144.33,125.93,105.11
2017-08-22,124.35,148.89,143.13,124.58,105.86
2017-08-23,123.63,148.64,142.85,124.3,104.39
2017-08-24,122.59,147.13,142.02,123.54,103.12
2017-08-25,125.34,150.5,145.33,126.79,104.93
2017-08-28,125.34,150.47,145.32,126.91,104.85
2017-08-29,124.13,148.92,143.01,125.3,104.74
2017-08-30,122.9,147.95,142.14,124.08,103.21
2017-08-31,123.45,148.6,143.02,125.34,102.97
2017-09-01,123.36,147.98,142.53,125.62,102.96
2017-09-04,122.2,147.33,142.34,125.06,100.57
2017-09-05,121.02,147.14,141.73,124.29,98.42
2017-09-06,120.71,147.44,141.72,124.62,97.26
2017-09-07,121.36,147.44,142.85,125.64,97.48
2017-09-08,122.42,148.9,144.58,127,97.78
2017-09-11,122.96,150.39,145.61,127.66,97.64
2017-09-12,124.98,153.4,148.42,130.48,98.27
2017-09-13,127.34,155.77,151.05,133.49,99.94
2017-09-14,127.26,155.89,151.22,133.72,99.4
2017-09-15,128.93,159.04,154.38,136.45,98.86
2017-09-18,128.95,157.89,153.81,136.49,99.55
2017-09-19,126.12,153.76,149.13,132.19,99.43
2017-09-20,128.01,155.67,150.5,134.5,101.3
2017-09-21,126.89,154.36,149.01,133.03,100.74
2017-09-22,126.35,153.83,148.5,132.5,100.16
2017-09-25,124.9,151.22,145.98,130.37,100.25
2017-09-26,124.68,150.87,146.07,130.29,99.77
2017-09-27,122.17,148.22,143.46,127.33,97.7
2017-09-28,121.4,147.22,142.6,126.21,97.34
2017-09-29,121.57,147.11,142.28,126.2,98.05
2017-10-02,120.48,145.84,141.14,124.88,98.68
2017-10-03,119.8,144.33,139.55,123.54,99.26
2017-10-04,119.58,144.01,139.37,123.15,99.19
2017-10-05,120.36,144.76,140.93,124.61,99.01
2017-10-06,122.33,147.65,143.66,127.63,99.46
2017-10-09,122.79,148.59,144.51,128.62,99.12
2017-10-10,122.49,148.8,144.51,128.08,98.73
2017-10-11,119.85,144.99,140.72,124.83,97.53
2017-10-12,120.01,144.58,140.29,124.39,98.66
2017-10-13,120.32,144.71,140.43,124.52,99.25
2017-10-16,118.75,141.99,138.37,123.08,98.16
2017-10-17,118.79,142.29,138.84,123.27,97.77
2017-10-18,118.86,141.78,138.93,123.07,98.23
2017-10-19,120.82,144.37,141.48,125.66,99.18
2017-10-20,119.79,143.15,139.87,123.75,99.23
2017-10-23,119.76,142.79,140.01,123.76,99.16
2017-10-24,118.78,141.76,138.98,122.68,98.3
2017-10-25,119.13,142.24,139.52,123,98.56
2017-10-26,119.23,142.67,139.98,123.19,98.28
2017-10-27,120.44,144.86,141.88,125.48,97.97
2017-10-30,119.5,144.2,141.65,124.95,96.26
2017-10-31,118.36,143.25,140.99,124.03,94.62
2017-11-01,116.42,141.79,138.78,122.09,92.68
2017-11-02,119.27,145.37,142.29,125.62,94.42
2017-11-03,117.59,143.41,140.01,123.15,93.76
2017-11-06,118.41,144.89,141.44,124.64,93.54
2017-11-07,117.36,144.04,140.86,123.73,92.07
2017-11-08,117.68,144.94,141.67,124.48,91.61
2017-11-09,118.23,145.11,142.37,125.24,92.03
2017-11-10,118.78,145.13,143.32,126.42,92.01
2017-11-13,118.92,145.28,143.18,126.67,92.2
2017-11-14,118.01,143.93,141.6,124.79,92.55
2017-11-15,118.38,144.41,141.42,125.07,93.26
2017-11-16,118.37,144.53,141.61,125.01,93.15
2017-11-17,116.42,142.19,138.89,122.46,92.2
2017-11-20,115.55,141.33,137.9,121.27,91.66
2017-11-21,116.02,141.76,138.69,122.73,91.17
2017-11-22,115.42,142.78,139.16,122.73,89.05
2017-11-23,115.3,142.58,139.09,122.51,89
2017-11-24,115.92,143.71,139.83,123.62,88.99
2017-11-27,115.55,143.81,140.12,123.8,87.7
2017-11-28,116.88,145.59,141.85,125.47,88.42
2017-11-29,118.56,147.63,143.96,127.54,89.44
2017-11-30,116.73,145.76,141.85,125.07,88.3
2017-12-01,117.3,146.59,142.83,125.84,88.41
2017-12-04,116.92,146.57,142.44,125.89,87.59
2017-12-05,116.59,145.44,141.28,124.68,88.63
2017-12-06,115.65,143.93,139.92,123.2,88.53
2017-12-07,113.52,141.03,136.98,120.35,87.64
2017-12-08,113.63,140.65,136.63,120.34,88.23
2017-12-11,111.64,137.99,134.27,117.55,87.29
2017-12-12,110.48,137.28,132.8,116.74,85.87
2017-12-13,112.08,138.69,134.36,118.33,87.55
2017-12-14,112.44,138.79,134.63,118.26,88.39
2017-12-15,112.6,139.32,134.9,119.15,87.78
2017-12-18,113.48,140.14,136.14,120.72,87.94
2017-12-19,113.37,140.75,136.17,121,87.21
2017-12-20,114.33,142.3,137.73,122.55,87.22
2017-12-21,113.73,141.37,136.89,121.74,87.02
2017-12-22,112.67,139.52,135.13,119.97,87.13
2017-12-26,113.67,141.11,136.8,121.4,87.23
2017-12-27,114.96,143.17,138.88,123.48,87.26
2017-12-28,115.03,143.31,139.15,123.58,87.17
2017-12-29,115.88,144.4,140.37,124.57,87.64
2018-01-02,118.83,148.39,144.44,129.27,88.27
2018-01-03,117.93,147.38,142.93,127.85,88.14
2018-01-04,118.53,148.4,143.88,128.84,88.14
2018-01-05,117.81,147.39,142.88,127.85,87.86
2018-01-08,115.25,144.26,139.78,124.77,86.18
2018-01-09,115.83,144.2,139.65,124.69,87.85
2018-01-10,115.18,143.17,138.44,123.76,87.83
2018-01-11,114.31,141.93,137.26,122.23,87.78
2018-01-12,114.1,141.81,136.82,121.29,88.24
2018-01-15,114.14,142.15,136.92,121.64,87.93
2018-01-16,113.03,140.14,134.92,120.17,87.85
2018-01-17,115.41,142.72,137.65,122.78,89.79
2018-01-18,114.67,140.84,135.88,121.05,90.73
2018-01-19,114.06,140.89,135.99,120.91,89.16
2018-01-22,115.09,142.25,137.08,122.21,89.85
2018-01-23,113.86,141.26,135.57,120.61,89
2018-01-24,115.57,143.64,138.14,122.62,89.81
2018-01-25,116.03,144.48,139.2,123.37,89.61
2018-01-26,117.01,145.99,140.64,124.85,89.78
2018-01-29,116.75,145.36,140.34,125.03,89.29
2018-01-30,114.78,143.35,137.88,122.66,87.93
2018-01-31,115.04,143.03,137.49,122.18,89.31
2018-02-01,114.5,142.31,136.94,121.39,89.01
2018-02-02,113.94,142.02,136.04,120.86,88.53
2018-02-05,113.73,141.41,135.53,120.4,88.8
2018-02-06,115.29,143.31,138.19,122.28,89.43
2018-02-07,115.8,144.15,138.87,123.27,89.36
2018-02-08,115.69,143.67,138.6,122.82,89.71
2018-02-09,115.35,142.74,137.81,122.37,89.87
2018-02-12,115,142.78,137.57,121.49,89.79
2018-02-13,115.78,143.57,138.85,122.69,89.96
2018-02-14,116.07,143.79,138.85,123.1,90.31
2018-02-15,115.47,142.98,137.81,122.22,90.23
2018-02-16,112.96,139.5,134.43,118.86,89.15
2018-02-19,112.45,138.95,134.25,118.46,88.41
2018-02-20,112.7,138.74,133.71,118.14,89.67
2018-02-21,112.16,137.86,132.58,117.45,89.64
2018-02-22,113.06,139.74,134.58,119,89.17
2018-02-23,113.21,140.02,134.72,119.39,89.09
2018-02-26,113.94,141.04,135.88,121.17,88.64
2018-02-27,113.3,140.03,134.77,120.43,88.44
2018-02-28,113.4,141.31,135.69,120.76,87.57
2018-03-01,115.23,142.78,137.61,122.8,89.3
2018-03-02,114.2,141.18,136,121.57,88.91
2018-03-05,113.54,139.76,136.16,120.43,88.43
2018-03-06,114.01,139.94,136.25,120.67,89.37
2018-03-07,114.08,140.06,135.9,120.54,89.82
2018-03-08,113.47,139.63,135.58,120.11,88.83
2018-03-09,113.71,139.57,135.5,120.03,89.59
2018-03-12,113.22,139.43,135.04,119.3,89.19
2018-03-13,114.17,140.87,136.78,121.06,88.93
2018-03-14,113.68,140.33,136.17,120.51,88.57
2018-03-15,112.01,138.21,134.15,118.76,87.27
2018-03-16,111.79,138.03,133.43,117.99,87.76
2018-03-19,112.68,138.68,134.6,119.11,88.37
2018-03-20,112.95,138.94,134.52,119.98,88.34
2018-03-21,112.75,138.77,134.25,119.53,88.36
2018-03-22,112.47,138.81,134.48,119.44,87.58
2018-03-23,110.73,137.16,133.03,117.88,85.51
2018-03-26,111.07,138.03,133.6,118.63,85.26
2018-03-27,112.62,139.43,134.6,119.82,87.42
2018-03-28,112.03,138.81,133.67,118.73,87.43
2018-03-29,112.39,139.94,134.24,119,87.53
2018-04-02,111.62,138.25,134,117.25,87.53
2018-04-03,112.62,139.27,134.49,118.81,88.34
2018-04-04,113.03,139.42,134.92,118.95,89.05
2018-04-05,113.2,139.9,135.45,119.12,88.92
2018-04-06,113.08,139.46,135,119.55,88.62
2018-04-09,113.28,140.19,135.41,119.95,88.41
2018-04-10,112.34,139.71,134.43,118.94,87.39
2018-04-11,112.75,140.38,135.16,119.54,87.4
2018-04-12,112.49,140.09,134.8,119.53,87.01
2018-04-13,112.43,139.73,134.47,119.25,87.36
2018-04-16,110.49,136.86,131.63,116.45,86.87
2018-04-17,110.57,136.14,130.93,115.74,88.24
2018-04-18,111.64,137.55,132.16,117.09,88.9
2018-04-19,110.99,136.53,131.23,116.06,88.81
2018-04-20,111.77,138.01,132.74,117.49,88.48
2018-04-23,112.67,139.36,134.2,118.53,88.82
2018-04-24,113.71,140.79,135.62,119.92,89.26
2018-04-25,112.54,139.14,134.23,118.35,88.68
2018-04-26,113.22,139.66,135.07,119.49,88.94
2018-04-27,114.66,142.18,137.61,121.8,88.78
2018-04-30,114.73,142.48,137.58,122.14,88.61
2018-05-01,116.88,144.42,139.39,123.96,91.3
2018-05-02,116.17,143.68,138.51,123.46,90.51
2018-05-03,116.87,144.73,139.03,123.97,91.36
2018-05-04,115.45,142.38,137.43,122.15,90.63
2018-05-07,114.24,140.29,135.82,119.86,90.75
2018-05-08,113.26,139.12,134.67,118.79,90
2018-05-09,112.36,138.58,134.35,118.37,88.29
2018-05-10,112.65,139.33,135.1,118.82,88.09
2018-05-11,111.34,138.68,134.79,118.07,85.6
2018-05-14,111.31,137.31,133.14,116.77,87.85
