,date,USDAED,USDAFN,USDALL,USDAMD,USDANG,USDAOA,USDARS,USDAUD,USDAWG,USDAZN,USDBAM,USDBBD,USDBDT,USDBGN,USDBHD,USDBIF,USDBMD,USDBND,USDBOB,USDBRL,USDBSD,USDBTC,USDBTN,USDBWP,USDBYN,USDBYR,USDBZD,USDCAD,USDCDF,USDCHF,USDCLF,USDCLP,USDCNY,USDCOP,USDCRC,USDCUC,USDCUP,USDCVE,USDCZK,USDDJF,USDDKK,USDDOP,USDDZD,USDEGP,USDERN,USDETB,USDEUR,USDFJD,USDFKP,USDGBP,USDGEL,USDGGP,USDGHS,USDGIP,USDGMD,USDGNF,USDGTQ,USDGYD,USDHKD,USDHNL,USDHRK,USDHTG,USDHUF,USDIDR,USDILS,USDIMP,USDINR,USDIQD,USDIRR,USDISK,USDJEP,USDJMD,USDJOD,USDJPY,USDKES,USDKGS,USDKHR,USDKMF,USDKPW,USDKRW,USDKWD,USDKYD,USDKZT,USDLAK,USDLBP,USDLKR,USDLRD,USDLSL,USDLTL,USDLVL,USDLYD,USDMAD,USDMDL,USDMGA,USDMKD,USDMMK,USDMNT,USDMOP,USDMRO,USDMUR,USDMVR,USDMWK,USDMXN,USDMYR,USDMZN,USDNAD,USDNGN,USDNIO,USDNOK,USDNPR,USDNZD,USDOMR,USDPAB,USDPEN,USDPGK,USDPHP,USDPKR,USDPLN,USDPYG,USDQAR,USDRON,USDRSD,USDRUB,USDRWF,USDSAR,USDSBD,USDSCR,USDSDG,USDSEK,USDSGD,USDSHP,USDSLL,USDSOS,USDSRD,USDSTD,USDSVC,USDSYP,USDSZL,USDTHB,USDTJS,USDTMT,USDTND,USDTOP,USDTRY,USDTTD,USDTWD,USDTZS,USDUAH,USDUGX,USDUSD,USDUYU,USDUZS,USDVEF,USDVND,USDVUV,USDWST,USDXAF,USDXAG,USDXAU,USDXCD,USDXDR,USDXOF,USDXPF,USDYER,USDZAR,USDZMK,USDZMW,USDZWL
0,01-08-2017,3.672502,68.319735,112.330002,478.109985,1.770246,165.093994,17.556999,1.256801,1.78,1.700403,1.658399,2.0,81.089996,1.6558,0.376698,1722.560059,1,1.3586,6.859734,3.125799,1.0,0.000366,64.124966,10.199098,1.930179,20020,1.997802,1.254697,1642.749511,0.96541,0.02433,653.599976,6.716901,2966.399902,567.940002,1,26.5,93.349998,22.124001,178.000075,6.29547,47.029999,108.158997,17.860001,15.290033,23.120001,0.846304,2.006992,0.756802,0.75711,2.385196,0.757096,4.398502,0.757103,45.150002,8897.000406,7.278009,204.059998,7.8128,23.349911,6.235597,61.060001,256.820007,13323.0,3.556498,0.757096,64.088997,1166.0,32744.99958,103.250237,0.757096,126.669998,0.707501,110.434998,103.650002,68.662003,4093.999797,450.149994,900.000111,1119.869995,0.3013,0.819648,331.690002,8263.494926,1503.999744,153.399994,113.501955,13.230172,3.048699,0.62055,1.363601,9.436602,17.865023,3184.999943,51.900002,1358.999759,2437.999938,8.047202,358.999482,32.869999,15.550248,715.700012,17.891803,4.283965,60.500451,13.252957,364.00016,29.730037,7.91974,102.300003,1.346204,0.383803,1.0,3.238501,3.285024,50.400002,105.169998,3.602501,5546.000348,3.646202,3.849196,101.252701,60.271999,823.98999,3.7494,7.683898,13.475005,6.6601,8.10822,1.35923,0.757099,7500.000287,549.000043,7.389892,20743.300781,8.749913,514.97998,13.253897,33.259998,8.8049,3.4,2.397898,2.19002,3.528897,6.71905,30.197962,2231.999808,25.820266,3594.999942,1,28.219999,4090.000157,9.974501,22719.0,102.860001,2.483199,554.950012,0.059977,0.000789,2.704398,0.708254,569.750323,101.029957,249.899994,13.247395,8.945037,8.9299,322.355011
1,02-08-2017,3.672199,68.360001,111.000088,478.079987,1.770024,165.093994,17.559021,1.257026,1.78,1.700301,1.652699,2.0,80.620003,1.653402,0.376699,1723.01001,1,1.360326,6.86048,3.1136,1.0,0.000367,64.050003,10.209502,1.929919,20020,1.997806,1.25733,1560.949951,0.97058,0.024221,650.650024,6.719902,2961.300049,568.960022,1,26.5,93.050003,22.017502,177.999749,6.276397,47.029999,108.139024,17.860001,15.290107,23.149953,0.8436,2.0065,0.755699,0.75598,2.385096,0.755987,4.3985,0.756029,44.999923,8895.000118,7.2725,204.399994,7.81607,23.340334,6.246401,61.560001,255.429993,13323.0,3.570031,0.755987,63.629002,1166.0,32759.000066,103.900002,0.755987,127.099998,0.707503,110.759003,103.599998,68.662003,4079.999676,450.100006,899.999774,1121.589966,0.301401,0.819936,336.459991,8281.000115,1504.000171,153.449997,113.699997,13.196363,3.048698,0.62055,1.36499,9.412796,17.844999,3184.999861,51.849998,1355.999958,2442.000265,8.050603,359.000191,32.799999,15.350239,715.830017,17.831099,4.276012,60.500369,13.210282,364.000133,29.770343,7.899903,102.300003,1.349197,0.3845,1.0,3.235495,3.284006,50.380001,105.220001,3.591304,5554.000575,3.649797,3.846102,101.218102,60.491699,824.159973,3.749396,7.660303,13.401986,6.659699,8.10258,1.36065,0.756014,7500.0001,558.999774,7.370151,20675.099609,8.75034,514.97998,13.189633,33.270407,8.806699,3.41,2.393203,2.216799,3.538102,6.719504,30.240218,2231.999956,25.919876,3601.999643,1,28.259653,4090.99998,9.974505,22709.0,102.900002,2.495599,553.030029,0.060458,0.000792,2.707442,0.70792,549.999918,100.579795,249.929993,13.2127,9.005029,9.020227,322.355011
2,03-08-2017,3.672502,68.309998,110.949997,478.220001,1.770075,165.093994,17.643017,1.256498,1.78,1.700303,1.648045,2.0,80.860001,1.649103,0.376696,1723.23999,1,1.3568,6.895535,3.112701,1.0,0.000355,63.724998,10.209499,1.930449,20020,1.997805,1.2568,1555.22998,0.96787,0.02415,648.349976,6.714903,2953.300049,569.340027,1,26.5,92.800003,21.893999,178.000063,6.26006,47.040001,108.096994,17.759772,15.289981,23.091881,0.841298,2.015965,0.760398,0.76078,2.382797,0.76082,4.398502,0.760601,44.999688,8894.999602,7.270502,204.490005,7.817189,23.334999,6.195903,59.740002,255.250145,13325.0,3.595401,0.76082,63.688999,1166.0,32770.999801,103.949997,0.76082,127.029999,0.706102,109.897003,103.599998,69.300003,4078.899902,450.079987,900.000341,1126.749554,0.300804,0.81989,335.269989,8263.502481,1505.699951,153.449997,114.400002,13.395018,3.048702,0.62055,1.364499,9.404696,17.834999,3185.000079,51.529999,1356.999599,2448.000173,8.051394,359.000266,32.849998,15.509725,715.909973,17.854698,4.277039,60.659943,13.378951,361.999954,29.749843,7.89575,101.504591,1.342401,0.384103,1.0,3.233297,3.283971,50.279999,105.190002,3.568702,5553.000156,3.652399,3.829104,100.793098,60.334599,824.25,3.749401,7.654503,13.394956,6.660202,8.09274,1.35735,0.760594,7499.999722,559.000552,7.369732,20621.099609,8.749978,514.97998,13.227402,33.229876,8.806899,3.4,2.3892,2.190293,3.540602,6.7125,30.202999,2231.999887,25.860001,3611.999979,1,28.3302,4091.000215,9.974502,22724.0,102.970001,2.483202,551.440002,0.059952,0.000788,2.715111,0.708005,566.99997,100.450095,249.949997,13.379903,9.069589,9.07946,322.355011
3,04-08-2017,3.672304,68.320404,112.099998,478.269989,1.770403,165.093994,17.643041,1.260504,1.78,1.700304,1.663304,2.0,80.820401,1.648041,0.376804,1723.72998,1,1.359804,6.860399,3.130504,1.0,0.000347,63.625041,10.251404,1.930398,20020,1.997804,1.264404,1555.47998,0.97264,0.02423,650.700012,6.727104,2985.0,570.539978,1,26.5,93.669998,22.16704,177.600006,6.323104,47.020393,108.09704,17.750392,15.290392,23.103874,0.84904,2.010391,0.76604,0.76698,2.382804,0.766953,4.379704,0.766204,45.099998,8890.000355,7.27304,204.490005,7.817704,23.340388,6.253304,59.740002,258.559998,13315.0,3.626304,0.766953,63.623001,1166.0,32771.000352,105.199997,0.766953,126.970001,0.706104,110.639999,103.650002,69.357002,4079.503796,450.070007,900.00035,1127.27002,0.301304,0.820383,332.01001,8263.503779,1505.699951,153.399994,114.400002,13.420381,3.048704,0.62055,1.364039,9.445504,17.834999,3185.000347,52.009998,1361.000346,2448.000346,8.052204,359.000346,32.799999,15.510378,715.969971,17.882999,4.277039,60.680377,13.418039,361.000344,29.770377,7.934039,101.503718,1.348404,0.384039,1.0,3.244504,3.285039,50.299999,105.190002,3.604504,5553.000341,3.652404,3.885304,100.452698,59.910999,824.219971,3.749704,7.660304,13.538038,6.659804,8.14197,1.35952,0.766204,7500.000338,559.000338,7.37037,20813.800781,8.75037,514.97998,13.379104,33.259998,8.810604,3.4,2.391504,2.194804,3.528104,6.736038,30.195038,2231.000335,25.850367,3607.000335,1,28.330367,4090.000334,9.975038,22724.0,104.000334,2.483204,556.580017,0.061468,0.000794,2.703604,0.707254,572.580017,101.675037,249.949997,13.449804,9.055037,9.080363,322.355011
4,05-08-2017,3.672304,68.320404,112.099998,478.269989,1.770403,165.093994,17.643041,1.260504,1.78,1.700304,1.663304,2.0,80.820401,1.648041,0.376804,1723.72998,1,1.359804,6.860399,3.130504,1.0,0.000303,63.625041,10.251404,1.930398,20020,1.997804,1.264404,1555.47998,0.97264,0.02423,650.700012,6.727104,2985.0,570.539978,1,26.5,93.669998,22.16704,177.600006,6.323104,47.020393,108.09704,17.750393,15.290392,23.103876,0.84904,2.010392,0.76604,0.76698,2.382804,0.76698,4.379704,0.766204,45.099998,8890.000355,7.27304,204.490005,7.817704,23.340389,6.253304,59.740002,258.559998,13315.0,3.626304,0.76698,63.623001,1166.0,32771.000352,105.199997,0.76703,126.970001,0.706104,110.639999,103.650002,69.357002,4079.503799,450.070007,900.00035,1127.27002,0.301304,0.820383,332.01001,8263.503782,1505.699951,153.399994,114.400002,13.420382,3.048704,0.62055,1.364039,9.445504,17.834999,3185.000347,52.009998,1361.000346,2448.000346,8.052204,359.000346,32.799999,15.510378,715.969971,17.882999,4.277039,60.680377,13.418039,361.000344,29.770377,7.934039,101.50372,1.348404,0.384039,1.0,3.244504,3.285039,50.299999,105.190002,3.604504,5553.000341,3.652404,3.885304,100.452698,59.910999,824.219971,3.749704,7.660304,13.538038,6.659804,8.14197,1.35952,0.766204,7500.000339,559.000338,7.370371,20813.800781,8.75037,514.97998,13.379104,33.259998,8.810604,3.4,2.391504,2.194804,3.528104,6.736038,30.195038,2231.000336,25.850367,3607.000335,1,28.330367,4090.000335,9.975038,22724.0,104.000334,2.483204,556.580017,0.061468,0.000794,2.703606,0.707254,572.580017,101.675037,249.949997,13.449804,9.055037,9.080363,322.355011
5,06-08-2017,3.672896,68.320052,112.099998,478.269989,1.769995,165.093994,17.658958,1.260898,1.78,1.700302,1.662401,2.0,80.82023,1.648025,0.376697,1723.72998,1,1.360098,6.894655,3.130503,1.0,0.000308,63.625021,10.251403,1.930272,20020,1.997801,1.26422,1555.479981,0.972769,0.02423,650.000152,6.727098,2983.0,570.539978,1,26.5,93.639999,22.145965,178.000202,6.31593,47.020219,108.097041,17.74979,15.289853,23.100915,0.8488,2.009944,0.7666,0.76648,2.380983,0.76698,4.398497,0.766897,45.099998,8889.999417,7.272957,204.490005,7.81821,23.340177,6.249798,59.740002,258.51001,13313.0,3.626403,0.76698,63.629002,1166.0,32771.000355,105.199997,0.76703,127.169998,0.707497,110.785004,103.599998,69.357002,4079.999873,450.070007,900.000172,1126.689941,0.301399,0.820142,332.01001,8280.999791,1505.699951,153.419998,114.400002,13.420245,3.048697,0.62055,1.363955,9.468501,17.834999,3185.000146,52.009998,1360.99989,2447.99983,8.052701,359.000024,32.799999,15.349809,715.969971,17.854699,4.277005,60.679716,13.419029,361.000095,29.770151,7.94343,101.550003,1.349299,0.384804,1.0,3.239499,3.285026,50.270479,105.209999,3.602902,5552.999724,3.661797,3.863199,100.452698,59.8535,824.219971,3.749802,7.660299,13.537975,6.659797,8.14384,1.36078,0.766898,7499.999928,558.999854,7.369686,20806.699219,8.750226,514.97998,13.407503,33.240002,8.810595,3.4,2.391503,2.190299,3.532203,6.736004,30.20097,2231.999779,25.85005,3607.000236,1,28.330255,4090.000159,9.974984,22724.0,103.290001,2.4832,556.289978,0.06158,0.000795,2.700419,0.707254,549.99985,101.294394,249.949997,13.400497,9.135013,9.080099,322.355011
6,07-08-2017,3.672899,68.320377,111.699997,478.23999,1.7825,165.093994,17.676001,1.263102,1.78,1.7003,1.659797,2.0,80.620003,1.657905,0.376702,1724.02002,1,1.361696,6.896424,3.1255,1.0,0.000292,63.650002,10.272498,1.930132,20020,1.997799,1.26758,1595.800049,0.973503,0.02427,651.190002,6.720602,2978.100098,570.47998,1,26.5,93.440002,22.134001,178.000133,6.30338,47.369999,108.960999,17.750006,15.289777,23.149754,0.8472,2.015501,0.7668,0.76706,2.3804,0.76698,4.398498,0.767038,45.049999,8900.000046,7.271801,204.509995,7.82079,23.315001,6.236699,60.089692,257.730011,13318.0,3.610899,0.76698,63.818987,1166.0,32797.999968,104.800003,0.76703,127.050003,0.707497,110.760002,103.599998,69.290001,4090.300049,450.029999,900.000165,1124.849976,0.301598,0.820096,332.059998,8266.700195,1505.699951,153.419998,114.599998,13.250189,3.0487,0.62055,1.363804,9.446101,17.775016,3184.999755,51.889999,1358.999637,2443.999827,8.055201,359.999746,32.999781,15.494287,715.919983,17.927999,4.279962,60.700001,13.219724,362.99976,29.790001,7.91965,101.599998,1.3585,0.384097,1.0,3.236901,3.28399,50.340162,105.110001,3.603102,5556.999651,3.6462,3.864302,101.185898,59.993999,824.469971,3.749799,7.660302,13.583012,6.659902,8.14595,1.36229,0.76697,7499.999591,559.000451,7.370058,20762.699219,8.750086,514.97998,13.217498,33.269864,8.809099,3.41,2.400699,2.190104,3.528697,6.731699,30.211015,2230.999932,25.739746,3603.999792,1,28.389999,4105.00025,9.974803,22729.0,103.410004,2.483198,555.419983,0.061455,0.000795,2.701691,0.709495,551.419983,101.110158,249.899994,13.218405,9.114948,9.059832,322.355011
7,08-08-2017,3.672899,68.330002,111.900002,478.410004,1.780201,165.093994,17.695999,1.266398,1.78,1.700298,1.666042,2.0,80.830002,1.655499,0.376697,1724.300049,1,1.362897,6.889967,3.127399,1.0,0.00029,63.750416,10.209503,1.929829,20020,1.997799,1.26714,1595.800049,0.97315,0.02417,648.549988,6.704798,2995.5,569.419983,1,26.5,93.809998,22.240901,178.000351,6.32981,47.019936,109.098026,17.760272,15.27978,23.139999,0.850499,2.014974,0.7693,0.77007,2.3803,0.76698,4.398498,0.769501,45.000109,8898.000109,7.271971,204.059998,7.823902,23.319805,6.258901,61.179689,258.640015,13310.0,3.600699,0.76698,63.686001,1166.0,32810.999976,104.900002,0.76703,127.209999,0.707499,110.107002,103.599998,69.315002,4090.502165,450.029999,900.000288,1125.359985,0.301603,0.819803,332.260011,8265.700195,1505.599976,153.300003,114.400002,13.409893,3.048696,0.620549,1.363302,9.467017,17.764999,3184.999892,52.099998,1363.000205,2433.000483,8.058038,360.000204,32.900002,15.5302,715.919983,17.860798,4.283973,60.669998,13.354031,360.999686,29.790001,7.95381,101.599998,1.3648,0.384796,1.0,3.236805,3.169601,50.549999,105.099998,3.626503,5546.000226,3.667502,3.881199,101.189697,59.876999,824.659973,3.749699,7.749399,13.135,6.659898,8.17366,1.36359,0.769499,7500.000469,558.999719,7.370321,20845.699219,8.749878,514.97998,13.357501,33.270172,8.810103,3.4,2.441897,2.189712,3.5309,6.642297,30.179001,2230.999748,25.690001,3602.000322,1,28.580036,4120.000311,9.974497,22724.0,103.519997,2.483202,557.48999,0.060667,0.000792,2.697493,0.70877,556.52002,101.490178,249.949997,13.350503,9.005002,8.879865,322.355011
8,09-08-2017,3.672903,68.300003,112.580002,478.209991,1.782504,165.093994,17.677999,1.266992,1.78,1.700198,1.665604,2.0,80.760002,1.667198,0.376697,1724.849976,1,1.362502,6.890217,3.155403,1.0,0.000296,63.750046,10.283098,1.930622,20020,1.997798,1.26952,1595.800049,0.9635,0.02415,647.869995,6.671896,3000.0,570.429993,1,26.5,93.760002,22.245899,177.999829,6.32428,47.01994,109.442001,17.75991,15.280103,23.226498,0.849903,2.014973,0.7686,0.76854,2.380202,0.76698,4.3985,0.768795,45.000106,8898.000367,7.273504,204.289993,7.81453,23.299999,6.256303,61.179774,259.48999,13332.0,3.592104,0.76698,63.854015,1167.0,32822.000251,105.150002,0.76703,127.190002,0.707499,110.036003,103.599998,69.379997,4086.399902,450.019989,900.000283,1137.650024,0.301597,0.820239,332.410004,8271.700195,1505.699951,153.199997,114.400002,13.409742,3.048704,0.62055,1.363017,9.461405,17.775014,3184.999904,52.060001,1364.000548,2435.999887,8.049597,360.00012,32.869999,15.520015,715.919983,17.949499,4.287028,60.669998,13.430971,361.000373,30.203402,7.946097,101.750397,1.359402,0.384797,1.0,3.243799,3.169601,50.59024,105.199997,3.628202,5568.000136,3.661403,3.880501,101.891403,60.019795,824.859985,3.749701,7.749402,13.380177,6.659798,8.17268,1.363103,0.768799,7499.99992,559.000018,7.370035,20833.300781,8.749909,514.97998,13.440084,33.220001,8.809602,3.4,2.4062,2.189981,3.537802,6.718996,30.209999,2231.000325,25.695037,3601.000179,1,28.580272,4120.000121,9.9745,22728.0,103.610001,2.483199,557.330017,0.05911,0.000784,2.696182,0.710034,555.960022,101.420128,249.949997,13.431497,8.884974,8.880254,322.355011
9,10-08-2017,3.672902,68.309998,112.709999,478.249852,1.780241,165.093994,17.698999,1.270698,1.78,1.700202,1.664501,2.0,80.739998,1.667097,0.376699,1725.050049,1,1.3632,6.860453,3.174896,1.0,0.00029,63.775002,10.293701,1.929843,20020,1.997802,1.27392,1595.800049,0.96182,0.02416,648.400024,6.645903,2997.5,572.26001,1,26.5,93.690002,22.2449,178.000044,6.31935,47.019958,109.304974,17.759617,15.280135,23.230903,0.849403,2.014996,0.769902,0.77065,2.380099,0.76698,4.398502,0.770095,45.000155,8895.000192,7.274499,202.550003,7.817599,23.269603,6.250504,61.179972,259.589996,13384.0,3.585104,0.76698,64.088997,1167.0,32836.999755,105.940002,0.76703,127.160004,0.707503,109.094002,103.599998,69.355003,4080.999833,449.999809,899.999926,1143.150024,0.301595,0.820199,332.559998,8273.000327,1505.699951,153.289993,114.400002,13.410047,3.048704,0.62055,1.362698,9.461991,17.774982,3185.000079,52.020166,1360.999721,2431.00017,8.051805,359.999858,32.900002,15.350364,715.929993,17.974597,4.290262,60.660386,13.447029,361.000062,30.207399,7.951195,102.199997,1.374498,0.384198,1.0,3.249006,3.177198,50.869999,105.120003,3.6364,5564.200195,3.669797,3.884399,102.068199,60.095001,824.950012,3.749695,7.749403,13.384999,6.659803,8.13618,1.363769,0.770102,7499.999948,559.000145,7.369629,20819.099609,8.74953,514.97998,13.443797,33.240002,8.800605,3.4,2.405302,2.190105,3.542699,6.7157,30.288022,2231.000419,25.660212,3596.99976,1,28.780001,4120.000431,9.974498,22729.0,103.849998,2.483204,556.969971,0.058416,0.000777,2.699831,0.709742,557.789978,101.329574,249.949997,13.448504,8.869787,8.880249,322.355011
