date,coffee beans
2017-08-02,91
2017-08-03,94
2017-08-04,94
2017-08-05,92
2017-08-06,100
2017-08-07,96
2017-08-08,84
2017-08-09,96
2017-08-10,84
2017-08-11,95
2017-08-12,79
2017-08-13,90
2017-08-14,78
2017-08-15,83
2017-08-16,71
2017-08-17,85
2017-08-18,78
2017-08-19,77
2017-08-20,86
2017-08-21,68
2017-08-22,76
2017-08-23,85
2017-08-24,71
2017-08-25,80
2017-08-26,78
2017-08-27,84
2017-08-28,73
2017-08-29,73
2017-08-30,65
2017-08-31,73
2017-09-01,69
2017-09-02,90
2017-09-03,92
2017-09-04,85
2017-09-05,82
2017-09-06,80
2017-09-07,78
2017-09-08,79
2017-09-09,84
2017-09-10,100
2017-09-11,88
2017-09-12,83
2017-09-13,82
2017-09-14,77
2017-09-15,75
2017-09-16,92
2017-09-17,85
2017-09-18,78
2017-09-19,81
2017-09-20,77
2017-09-21,76
2017-09-22,78
2017-09-23,80
2017-09-24,95
2017-09-25,82
2017-09-26,76
2017-09-27,80
2017-09-28,75
2017-09-29,87
2017-09-30,86
2017-10-01,96
2017-10-02,78
2017-10-03,79
2017-10-04,79
2017-10-05,79
2017-10-06,83
2017-10-07,90
2017-10-08,92
2017-10-09,85
2017-10-10,80
2017-10-11,76
2017-10-12,84
2017-10-13,84
2017-10-14,88
2017-10-15,87
2017-10-16,84
2017-10-17,80
2017-10-18,83
2017-10-19,87
2017-10-20,78
2017-10-21,88
2017-10-22,100
2017-10-23,84
2017-10-24,89
2017-10-25,73
2017-10-26,78
2017-10-27,76
2017-10-28,100
2017-10-29,89
2017-10-30,86
2017-10-31,83
2017-11-01,88
2017-11-02,80
2017-11-03,87
2017-11-04,88
2017-11-05,92
2017-11-06,84
2017-11-07,88
2017-11-08,86
2017-11-09,81
2017-11-10,87
2017-11-11,81
2017-11-12,94
2017-11-13,75
2017-11-14,77
2017-11-15,64
2017-11-16,75
2017-11-17,70
2017-11-18,79
2017-11-19,86
2017-11-20,73
2017-11-21,80
2017-11-22,76
2017-11-23,85
2017-11-24,73
2017-11-25,90
2017-11-26,94
2017-11-27,80
2017-11-28,74
2017-11-29,76
2017-11-30,74
2017-12-01,78
2017-12-02,86
2017-12-03,98
2017-12-04,85
2017-12-05,88
2017-12-06,77
2017-12-07,82
2017-12-08,83
2017-12-09,89
2017-12-10,88
2017-12-11,80
2017-12-12,81
2017-12-13,82
2017-12-14,77
2017-12-15,78
2017-12-16,92
2017-12-17,97
2017-12-18,84
2017-12-19,81
2017-12-20,85
2017-12-21,84
2017-12-22,81
2017-12-23,87
2017-12-24,85
2017-12-25,81
2017-12-26,90
2017-12-27,77
2017-12-28,78
2017-12-29,80
2017-12-30,84
2017-12-31,83
2018-01-01,80
2018-01-02,70
2018-01-03,80
2018-01-04,85
2018-01-05,78
2018-01-06,86
2018-01-07,100
2018-01-08,82
2018-01-09,75
2018-01-10,74
2018-01-11,81
2018-01-12,74
2018-01-13,79
2018-01-14,89
2018-01-15,78
2018-01-16,77
2018-01-17,75
2018-01-18,81
2018-01-19,72
2018-01-20,78
2018-01-21,92
2018-01-22,78
2018-01-23,72
2018-01-24,66
2018-01-25,68
2018-01-26,68
2018-01-27,82
2018-01-28,97
2018-01-29,77
2018-01-30,77
2018-01-31,70
2018-02-01,79
2018-02-02,71
2018-02-03,84
2018-02-04,81
2018-02-05,69
2018-02-06,79
2018-02-07,74
2018-02-08,82
2018-02-09,72
2018-02-10,98
2018-02-11,95
2018-02-12,88
2018-02-13,80
2018-02-14,75
2018-02-15,75
2018-02-16,77
2018-02-17,83
2018-02-18,95
2018-02-19,76
2018-02-20,74
2018-02-21,80
2018-02-22,85
2018-02-23,81
2018-02-24,81
2018-02-25,100
2018-02-26,91
2018-02-27,90
2018-02-28,74
2018-03-01,79
2018-03-02,78
2018-03-03,92
2018-03-04,98
2018-03-05,85
2018-03-06,84
2018-03-07,83
2018-03-08,80
2018-03-09,81
2018-03-10,96
2018-03-11,94
2018-03-12,78
2018-03-13,82
2018-03-14,84
2018-03-15,84
2018-03-16,79
